index;x;y;z
0;-0.138018;0.116872;-0.017982
1;0.191325;-0.037674;0.159643
2;0.071344;0.026709;0.026258
3;-0.077669;-0.005059;-0.087394
4;-0.044556;0.008903;-0.094371
5;0.023292;-0.018689;0.011985
6;-0.006431;-0.013408;0.089131
7;-0.049599;0.032295;0.002762
8;-0.035908;-0.022330;-0.056080
9;0.016022;-0.011355;-0.023837
10;0.014457;0.010480;0.036351
11;-0.082730;-0.018879;0.087569
12;-0.138042;-0.008380;0.045565
13;-0.061207;-0.036180;0.035908
14;0.069347;0.019516;0.016723
15;0.151865;-0.006397;-0.012021
16;0.099800;0.008100;-0.024776
17;0.036939;0.002975;-0.002219
18;0.040430;0.005743;-0.013579
19;0.031829;-0.022277;-0.005700
20;0.001847;0.004865;-0.007584
21;-0.020446;-0.003852;0.001147
22;-0.032465;0.010709;-0.002524
23;-0.001824;-0.017506;0.000683
24;0.011893;-0.004086;0.007260
25;0.020110;-0.020720;0.014415
26;0.008304;0.008280;-0.006519
27;-0.019596;0.009066;-0.017230
28;-0.042211;-0.002801;-0.013473
29;-0.015297;-0.009480;0.011667
30;0.026555;-0.018526;0.021654
31;0.002407;-0.005732;0.009245
32;-0.010573;0.008068;-0.002282
33;-0.006487;0.007530;-0.018616
34;-0.001855;-0.005493;-0.010244
35;0.007051;-0.019652;0.001821
36;-0.012046;0.003702;-0.000315
37;-0.039314;-0.001762;-0.024013
38;-0.067588;-0.016432;0.008045
39;-0.029443;-0.019493;0.049933
40;-0.159422;-0.156203;0.108661
41;-0.280196;-0.056785;0.133570
42;-0.304511;-0.044678;0.173650
43;0.043607;-0.093599;0.156853
44;0.203020;0.064870;-0.044070
45;-0.036276;0.219998;-0.092808
46;0.023833;0.020097;0.046835
47;0.232416;0.062433;-0.023423
48;0.053604;-0.091555;-0.060579
49;0.050239;0.070155;-0.182127
50;0.189074;0.110748;-0.082502
51;0.330676;0.124393;-0.062902
52;0.299827;0.119614;-0.160760
53;0.280375;0.111975;-0.070951
54;-0.412189;-0.802362;0.253206
55;0.087285;0.308738;-0.227137
56;0.170210;0.025282;0.079852
57;0.339660;-0.007883;0.109245
58;-0.095286;0.113908;0.005906
59;-0.318285;-0.086126;0.070927
60;0.107412;-0.041004;-0.088443
