index;x;y;z
0;-0.001601;0.007737;-0.010774
1;0.004094;-0.009430;0.043776
2;0.050140;0.020140;0.003605
3;0.003613;-0.021071;0.006558
4;-0.039330;0.002583;-0.023451
5;0.002834;-0.005659;-0.010157
6;0.026034;0.006624;0.007736
7;0.021489;0.001465;0.007881
8;-0.014335;-0.004200;-0.003590
9;0.001056;-0.001840;-0.014588
10;0.025927;-0.009802;0.009955
11;-0.001395;0.000404;-0.003791
12;-0.012091;-0.006157;-0.018098
13;-0.017947;-0.006449;-0.005601
14;-0.012576;0.006391;0.004364
15;-0.016710;-0.005978;0.006953
16;-0.034806;-0.011414;0.002756
17;0.006206;-0.001127;0.007147
18;0.007812;0.003264;0.015635
19;-0.010968;-0.009243;0.003283
20;0.007227;-0.000277;-0.004578
21;0.023807;0.000512;0.001494
22;0.013600;-0.003864;0.003869
23;0.021738;-0.000912;0.006771
24;-0.004082;0.000825;0.004000
25;-0.015848;-0.004694;-0.001226
26;-0.005975;-0.000524;0.004138
27;0.011860;-0.006141;0.008452
28;0.000463;-0.005690;0.000872
29;-0.016346;-0.001198;-0.009042
30;-0.019575;-0.005590;-0.003442
31;0.002486;-0.007827;0.005226
32;0.004825;-0.004557;0.001095
33;-0.018666;-0.005840;-0.006677
34;-0.013149;-0.006806;-0.008882
35;-0.003484;-0.002779;0.005432
36;-0.003816;0.001364;0.009158
37;0.011634;-0.004311;0.002793
38;0.000532;-0.001755;-0.005179
39;-0.010467;-0.000673;0.000858
40;0.009801;-0.002792;0.001608
41;0.004817;-0.000356;0.002298
42;-0.002177;-0.001575;0.001883
43;0.007158;-0.004857;-0.000028
44;0.009106;-0.005005;0.002003
45;0.000754;0.000652;-0.001186
46;0.002344;-0.003599;0.001585
47;0.001910;-0.001889;0.003631
48;0.000850;-0.001414;-0.000344
49;-0.008615;-0.003642;-0.001095
50;-0.000052;-0.004868;0.000501
51;0.003322;-0.001413;0.002096
52;0.005999;-0.003199;-0.000771
53;-0.000060;-0.000692;0.000042
54;0.003154;-0.003593;0.000416
55;-0.001501;-0.001702;0.000766
56;-0.001112;-0.003130;0.000767
57;0.003425;-0.003604;-0.001712
58;0.000588;-0.006641;0.002640
59;0.001126;0.001620;-0.000766
60;0.001192;-0.006110;0.000316
61;0.000416;0.000714;-0.000812
62;-0.007426;-0.003928;-0.000934
63;0.004791;-0.007857;-0.000891
64;-0.002277;0.004270;-0.000378
65;0.000652;-0.009984;0.002396
66;-0.001077;-0.000915;-0.003390
67;-0.008861;-0.000300;0.000739
68;0.004857;-0.009218;0.001964
69;-0.000385;-0.000086;-0.000773
70;-0.006920;-0.003725;-0.000177
71;0.006802;-0.005489;0.001127
72;-0.003356;-0.001379;0.000843
73;0.002859;-0.007090;-0.001102
74;0.001241;0.002975;-0.000815
75;0.001707;-0.006810;0.003964
76;0.001298;-0.003399;0.001579
77;-0.009355;-0.002228;0.000864
78;0.000864;-0.002461;0.000078
79;0.004060;0.001081;0.000765
80;0.002601;-0.003606;0.003456
81;-0.003285;-0.002968;0.000689
82;-0.002672;-0.003911;0.002371
83;-0.001316;-0.000910;0.000313
84;0.007950;-0.002981;-0.004136
85;0.014824;-0.002400;-0.003545
86;0.011981;-0.007835;-0.005134
87;-0.019638;-0.002684;-0.005176
88;-0.001914;-0.004705;0.000549
89;0.003365;0.011835;0.001459
90;0.017296;-0.024269;0.006012
91;0.043945;0.005988;-0.005542
92;0.043954;-0.021791;0.017571
93;0.022148;0.011548;-0.004110
94;0.047520;-0.010405;-0.001926
95;0.029984;-0.008593;-0.002742
96;-0.032944;0.006060;0.008240
97;-0.018901;-0.014296;0.011986
98;-0.018480;-0.001018;0.026649
99;-0.024614;0.006539;0.023344
100;-0.042390;0.006751;0.023218
101;-0.081763;-0.000836;0.023220
102;-0.091316;-0.014703;0.013436
103;-0.087224;-0.037009;0.009565
104;-0.126037;-0.103658;-0.014113
105;-0.145606;-0.273107;0.020115
