index;x;y;z
0;0.033681;-0.008527;-0.004233
1;0.017439;-0.004387;-0.010693
2;0.001788;-0.002302;-0.009594
3;0.002636;-0.002128;-0.003379
4;-0.014509;-0.000112;-0.006510
5;-0.016994;0.000124;-0.005505
6;-0.012822;0.001210;-0.000742
7;-0.019152;-0.003301;-0.000105
8;-0.016755;-0.005340;0.006812
9;-0.008649;-0.005854;0.015858
10;-0.003918;-0.012632;0.019301
11;-0.007879;-0.007842;0.016015
12;-0.008630;0.001019;-0.000993
13;-0.001060;-0.001022;-0.013142
14;0.011738;0.003651;-0.010738
15;0.027262;-0.005907;-0.013073
16;0.039857;-0.016548;-0.008102
17;0.017817;0.000198;-0.001305
18;-0.029854;-0.005100;-0.027421
19;-0.006692;-0.005266;0.000692
20;-0.031203;-0.001092;0.020571
21;-0.029203;0.003007;0.024994
22;-0.006429;-0.007694;0.016493
23;0.023166;-0.000230;0.027163
24;0.020876;-0.006619;0.006786
25;0.024000;-0.004822;-0.016564
26;-0.008266;-0.002636;-0.026937
27;-0.033070;0.007989;-0.013405
28;-0.024297;-0.004839;0.013691
29;-0.020708;0.004144;0.051692
30;0.004630;-0.008810;0.037581
31;0.002454;0.005870;0.010236
32;-0.040343;-0.028838;0.001378
33;0.055960;0.005749;0.044401
34;0.034344;0.008525;0.026733
35;0.029761;-0.003171;-0.004184
36;0.016082;-0.013714;-0.011172
37;0.023343;-0.006971;0.022959
38;0.015678;-0.001567;0.026672
39;0.003146;-0.003796;0.021482
40;-0.007953;-0.002417;0.007017
41;-0.004227;-0.005660;-0.000195
42;0.002447;-0.005307;0.003594
43;0.011783;0.002416;-0.006545
44;0.012771;0.002443;-0.010416
45;0.012604;-0.002731;-0.015147
46;-0.000593;-0.004502;-0.009937
47;-0.008701;-0.000229;-0.006054
48;-0.010887;-0.003686;-0.000194
49;-0.007236;-0.010326;0.008976
50;-0.019682;0.002657;0.004075
51;-0.009828;-0.001723;-0.005695
52;0.016398;0.004958;-0.008570
53;0.006355;-0.000789;-0.025492
54;0.031550;0.001878;-0.004741
55;0.036508;-0.014113;0.007081
56;0.035771;-0.010733;0.005726
57;-0.010376;-0.007592;0.017526
58;0.038635;-0.010042;0.018729
59;0.013869;-0.004901;0.003248
60;0.043771;0.011270;-0.039075
61;0.039268;-0.018983;-0.072437
62;0.085603;0.007006;-0.043459
63;0.046784;-0.009238;-0.016134
64;0.077888;-0.000023;0.007953
65;0.040903;-0.019754;0.019144
66;0.053630;-0.010005;0.022867
67;-0.011728;-0.002662;0.009285
68;-0.022728;0.007088;0.028682
69;-0.002117;0.002845;0.036020
70;0.006533;-0.002918;0.007186
71;-0.029283;-0.001007;0.006062
72;0.029005;0.019372;-0.006666
73;0.014915;-0.010629;-0.028916
74;0.036157;0.004675;-0.024671
75;0.068691;-0.014607;-0.011264
76;-0.037980;-0.021991;0.024049
77;-0.094349;-0.007753;0.082686
78;-0.028438;-0.051591;0.098783
79;-0.133699;-0.112476;0.168737
80;-0.108623;-0.134428;0.105561
81;-0.186488;-0.243488;0.109692
82;-0.340372;-0.297484;0.069164
83;-0.563848;-0.384014;0.167865
84;-0.627901;-0.218669;0.223790
85;-0.474242;-0.054866;0.198328
86;0.166067;0.000407;-0.037678
87;-0.091742;0.102168;0.338062
88;-0.169613;0.176611;0.030085
89;-0.154192;0.308820;-0.036600
90;-0.115864;0.189852;-0.047857
91;0.145179;0.120201;-0.001484
92;0.175656;0.050158;-0.076357
93;0.173266;-0.079120;-0.172781
94;0.388378;-0.226310;-0.051541
95;0.363899;-0.179445;-0.141722
96;0.335346;-0.148790;-0.214494
97;0.320803;-0.120558;-0.152350
98;0.326007;-0.065753;-0.184818
99;-0.049612;-0.112360;0.094418
100;-0.162080;-0.018662;-0.070514
101;0.657698;0.120857;-0.249078
102;0.299272;-0.226315;-0.059494
103;-0.055446;0.067660;-0.145214
104;-0.299730;0.045633;0.085261
105;0.326981;0.015249;0.213316
106;-0.112435;0.005166;0.026496
107;-0.144647;0.002029;-0.021045
108;0.144269;-0.002620;0.078906
109;0.045125;-0.022101;-0.010473
110;-0.128335;0.010365;-0.016315
111;-0.031103;-0.000585;0.040097
112;-0.037687;-0.012441;0.036638
113;-0.084177;-0.035998;0.070951
114;-0.084681;-0.065181;0.069444
115;-0.055519;-0.065009;0.089052
116;-0.089920;-0.062293;0.088157
117;-0.116127;-0.127206;0.045558
118;-0.217808;-0.201606;0.094961
119;-0.164906;-0.168251;0.106252
120;-0.389759;-0.235031;0.045044
121;-0.545670;-0.414197;0.134811
122;-0.678571;-0.277941;0.325494
123;-0.508759;-0.069124;0.240275
124;0.161120;-0.287677;0.191832
125;-0.486871;0.548224;0.091144
126;0.276353;-0.050087;0.227204
127;0.280598;0.464134;0.140077
128;0.063542;0.283503;-0.082262
129;-0.166611;0.302818;-0.261387
130;0.098818;-0.141142;-0.144971
131;0.551338;-0.251554;-0.020527
132;0.309800;-0.282398;-0.216889
133;0.363277;-0.210324;-0.246961
134;0.521682;-0.254551;0.009599
135;0.304303;-0.118090;-0.194270
136;0.136826;-0.068568;-0.001806
137;-0.498574;-0.135603;-0.172870
138;0.631429;0.087539;-0.209076
139;0.330762;-0.060479;0.220398
140;-0.226573;0.106115;-0.136307
141;-0.022039;-0.065690;0.059120
142;0.196353;-0.006570;0.059398
143;-0.182424;-0.009737;0.009612
144;0.181362;-0.015971;-0.011768
145;-0.024595;0.016784;-0.024421
146;-0.072397;0.013875;0.023707
