index;x;y;z
0;-0.015207;-0.029590;0.066374
1;-0.056866;-0.000247;-0.019242
2;0.019060;-0.016834;-0.018335
3;0.040367;0.014966;0.002305
4;-0.006113;0.009808;-0.052124
5;-0.016968;-0.002290;-0.013129
6;-0.008302;0.025044;-0.011910
7;-0.009474;-0.023798;-0.043037
8;-0.039082;-0.023645;-0.011755
9;0.023599;0.029147;0.031884
10;0.015201;-0.005107;0.026745
11;-0.014625;0.007246;0.010361
12;0.026106;0.013382;0.006749
13;0.022939;-0.020166;0.038442
14;0.034509;-0.007126;0.030843
15;-0.007195;0.000579;0.003816
16;-0.034212;-0.016698;-0.044149
17;-0.030294;-0.001152;-0.014587
18;0.009891;-0.027298;-0.003291
19;0.016165;-0.012394;0.013886
20;0.001012;-0.016857;0.013037
21;0.006221;-0.014350;-0.003386
22;0.009490;-0.004394;-0.039297
23;-0.007409;-0.005638;-0.034472
24;0.007252;-0.013232;-0.013875
25;-0.002652;-0.013929;-0.005357
26;-0.008936;-0.002420;0.002305
27;0.017248;0.011110;-0.005212
28;0.033359;0.017956;-0.005670
29;0.021068;-0.004225;-0.034667
30;-0.007452;0.000408;0.016757
31;-0.000972;-0.012772;0.058042
32;-0.005346;-0.014956;0.036779
33;-0.001248;0.004365;-0.005075
34;0.022848;0.003174;0.022719
35;0.029882;-0.002313;0.040200
36;0.014335;0.011775;0.018799
37;0.002691;-0.002201;0.004702
38;-0.039003;-0.018212;-0.030779
39;0.011581;-0.016198;-0.020537
40;0.003068;-0.004524;-0.044453
41;-0.008162;0.012207;-0.015241
42;-0.018066;-0.001170;-0.000577
43;-0.015256;-0.005721;0.000075
44;-0.010323;-0.013651;0.023796
45;0.000032;0.004226;0.044193
46;0.051890;0.071072;0.090551
47;0.020245;0.013954;0.004409
48;-0.041734;-0.101235;-0.132670
49;-0.028294;-0.118690;-0.066488
50;-0.036433;0.006141;0.035070
51;0.044923;0.061406;0.091767
52;0.095663;0.072894;0.037354
53;0.032291;0.034779;-0.082068
54;0.014466;-0.010412;-0.031289
55;-0.009183;-0.032060;0.039263
56;-0.021373;-0.014736;0.029980
57;-0.015083;-0.002294;0.009317
58;-0.013878;0.004002;-0.020120
59;-0.016160;-0.010414;-0.023749
60;-0.031567;-0.009812;0.009659
61;-0.037384;-0.021433;0.024418
62;-0.027779;-0.013134;0.016437
63;0.018973;0.006123;0.012428
64;0.029361;-0.004370;-0.004716
65;0.040569;0.012275;-0.004757
66;0.035672;0.008816;0.003409
67;0.008719;-0.004611;-0.006189
68;0.000264;-0.005697;0.001067
69;0.007707;-0.005468;0.010406
70;0.019031;0.007095;0.005606
71;0.026150;0.001193;0.000559
72;0.025011;0.007965;0.009590
73;0.021213;0.007324;0.029246
74;-0.004659;-0.000395;0.015218
75;-0.010274;-0.009000;-0.011486
76;-0.002426;-0.012802;0.025153
77;0.006509;-0.008062;0.031052
78;-0.000368;-0.000820;-0.009534
79;-0.010060;0.000598;-0.023149
80;-0.001971;-0.007242;-0.003635
81;-0.010701;-0.017961;0.010711
82;-0.020039;-0.014446;0.004025
83;0.004837;-0.001672;-0.005464
84;0.015166;0.001525;-0.008710
85;0.020647;0.001133;-0.009993
86;0.007720;-0.004047;0.004557
87;-0.010491;-0.012821;0.010220
88;0.002677;-0.000104;0.006648
89;0.018732;-0.003736;0.000350
90;0.005942;0.005733;0.011239
91;0.021192;0.005629;0.010489
92;0.000991;-0.009158;0.007214
93;-0.009273;-0.011714;0.022401
94;-0.006328;-0.001164;0.010498
95;-0.003268;0.000907;-0.015329
96;0.011183;-0.006382;0.010626
97;-0.000633;-0.006294;0.004785
98;-0.005097;-0.008628;0.001726
99;-0.002752;-0.010788;0.002395
100;0.007275;-0.011981;-0.000440
101;-0.003836;0.002115;0.000580
102;-0.017623;0.034429;-0.000986
103;-0.041209;0.006252;-0.045642
104;0.028966;-0.029085;-0.019346
105;0.049752;0.003378;0.060228
106;0.096598;0.024703;0.037770
107;0.098626;0.059571;0.000730
108;0.031329;0.045190;-0.011772
109;-0.007111;0.036370;0.001299
110;0.057114;0.037314;0.072752
111;0.042375;-0.019794;0.062517
112;0.010174;0.001414;0.026694
113;0.028621;-0.005590;0.031361
114;0.032730;0.023243;-0.019946
115;0.026002;0.028551;0.010520
116;0.056800;-0.000257;0.026808
117;-0.062067;-0.082409;-0.013039
118;-0.078463;-0.058517;-0.034719
119;0.007192;0.026185;-0.017962
120;0.031425;-0.018991;0.079068
121;-0.049236;-0.129881;0.014670
122;-0.093904;-0.106559;-0.032320
123;-0.069432;-0.092160;-0.031040
124;-0.045765;-0.027552;-0.020083
125;-0.054307;-0.001482;-0.087215
126;-0.062189;-0.030535;-0.057025
127;-0.117735;0.081253;-0.017659
128;-0.014859;0.018544;-0.087505
129;0.093134;-0.029995;-0.028010
130;0.016548;-0.064075;0.104194
131;-0.060351;-0.041959;0.162263
132;-0.045659;0.077907;0.026706
133;0.036128;0.105534;-0.102036
134;0.078488;0.045016;-0.041951
135;0.073010;-0.039417;0.061655
136;0.035197;-0.062687;0.127469
137;0.053214;-0.035589;0.068060
138;0.046871;0.004687;0.007753
139;0.019345;0.006482;-0.033082
140;-0.006055;0.024374;-0.051735
141;-0.005477;0.028389;-0.034299
142;-0.057454;0.095579;-0.012937
143;-0.002468;0.130848;-0.120622
144;0.080123;-0.033295;-0.185722
145;-0.005570;-0.108417;-0.015651
146;-0.058752;-0.076013;0.101977
147;-0.018683;0.089356;0.052318
148;0.142138;0.122478;-0.070882
149;0.127022;0.038914;-0.035659
150;0.090038;-0.032496;0.099177
151;0.064491;-0.047074;0.173362
152;0.011960;-0.069367;0.146927
153;-0.007437;-0.089560;0.025711
154;-0.037278;-0.029575;-0.017288
155;-0.034280;-0.024542;-0.001632
156;-0.057246;-0.022714;0.015673
157;-0.113922;0.048385;0.035453
158;-0.170587;0.198738;-0.035618
159;-0.040657;0.039471;-0.154483
160;-0.007330;-0.132482;-0.046193
161;0.001394;-0.116009;0.159723
162;0.029908;0.001891;0.160119
163;0.062219;0.166960;-0.059516
164;0.134108;0.146881;-0.201876
165;0.134508;0.005422;-0.068569
166;0.117087;-0.055227;0.104379
167;0.104219;-0.069430;0.197435
168;0.054060;-0.011141;0.142479
169;0.041883;0.031679;-0.007447
170;0.021069;0.086497;-0.076849
171;0.028192;0.090982;-0.088766
172;-0.006121;0.085700;-0.042628
173;-0.030458;0.146961;-0.020793
174;0.061344;0.113534;-0.113265
175;0.093923;-0.082463;-0.120085
176;-0.029263;-0.152765;0.017718
177;-0.056687;-0.113066;0.110602
178;-0.042540;0.004928;0.044580
179;0.018869;-0.006724;-0.008239
180;0.029472;-0.059067;0.078113
181;0.011930;-0.069082;0.097279
182;-0.029643;-0.073788;0.072858
183;-0.001928;-0.086819;0.050486
184;0.036740;-0.055166;0.033321
185;0.036134;-0.059975;0.005925
186;-0.059122;-0.048515;-0.024194
187;-0.205770;0.024950;-0.021677
188;-0.291866;0.213313;-0.059275
189;-0.203424;0.020835;-0.221232
190;-0.124543;-0.209099;-0.170009
191;-0.210121;-0.118087;0.072266
192;-0.226995;-0.089737;0.055181
193;-0.197093;0.110026;-0.199686
194;-0.068730;0.173693;-0.243599
195;0.059142;0.119469;-0.090225
196;0.206914;0.133233;0.047050
197;0.406082;0.183223;0.146433
198;0.499475;0.235790;0.245832
199;0.494247;0.284996;0.191583
200;0.517650;0.295524;0.118543
201;0.481200;0.311356;0.075530
202;0.392781;0.384654;0.045192
203;0.362964;0.546748;0.044663
204;0.361286;0.421363;-0.133711
205;0.262671;0.206286;-0.265199
206;-0.057118;0.177910;-0.163398
207;-0.238163;0.132583;-0.075329
208;-0.249204;0.176438;-0.068175
