index;x;y;z
0;-0.025828;-0.010156;0.021760
1;-0.016714;-0.001706;-0.031288
2;0.038930;0.008091;-0.007104
3;0.032560;0.003403;-0.000733
4;0.017814;0.007870;-0.029059
5;0.007805;-0.016768;0.022160
6;-0.010355;-0.010513;0.030880
7;-0.001479;0.007788;-0.018935
8;0.009343;-0.006904;-0.001574
9;0.018425;0.018654;0.002656
10;-0.001075;0.010522;0.001497
11;0.007512;-0.001445;0.027367
12;0.004392;-0.003143;0.012376
13;-0.009144;-0.000445;-0.001792
14;0.000349;0.001784;0.009030
15;0.003968;0.000324;-0.002802
16;0.009554;-0.015592;0.024215
17;0.003716;-0.012636;-0.009386
18;-0.007208;-0.007477;-0.009536
19;-0.012559;-0.019738;-0.000891
20;0.001006;-0.020688;-0.011100
21;0.003483;0.001189;-0.019142
22;-0.003594;-0.016553;-0.001286
23;-0.013479;-0.007841;0.010201
24;-0.008147;-0.004935;0.003375
25;-0.003230;0.001071;-0.026959
26;0.005600;-0.001952;0.003137
27;0.010147;0.006760;0.011253
28;0.000724;-0.016051;0.017443
29;0.007153;-0.007209;-0.001860
30;-0.005848;-0.008426;-0.000364
31;0.000364;0.004263;0.004231
32;0.008685;0.005519;-0.002642
33;0.013921;-0.004030;0.011086
34;0.009628;0.000717;0.011167
35;0.003360;0.000350;0.007152
36;-0.009105;-0.004643;0.000373
37;-0.001630;-0.002920;-0.011980
38;-0.004036;-0.006311;-0.003952
39;0.003468;-0.003795;-0.007697
40;0.007548;-0.012259;-0.011246
41;0.005616;-0.010990;-0.006454
42;-0.000698;-0.004004;-0.022791
43;0.000662;-0.000073;-0.001755
44;0.002164;-0.001356;0.009755
45;-0.003576;-0.005830;0.002171
46;0.001237;-0.007140;0.009503
47;0.002893;0.000158;0.010853
48;0.001312;0.000340;0.005745
49;0.005658;0.006342;0.015382
50;0.011792;-0.000297;0.004589
51;0.006774;0.003897;0.016389
52;0.012564;-0.004309;0.013124
53;0.004001;-0.006230;-0.002941
54;0.002594;-0.002663;-0.002390
55;0.000286;-0.000272;-0.002362
56;0.008285;-0.002347;0.005233
57;0.001709;-0.007468;0.005905
58;-0.006001;-0.006668;-0.011668
59;-0.002701;-0.012753;0.006159
60;-0.007824;-0.014192;0.006834
61;-0.009696;-0.003857;-0.007783
62;0.001331;-0.004224;-0.002670
63;-0.004645;-0.001665;-0.012287
64;-0.011243;0.007133;-0.001975
65;-0.004560;-0.003708;-0.001137
66;0.000835;-0.004125;0.008174
67;0.013691;0.002820;0.000513
68;0.005431;-0.005419;0.004477
69;0.025079;-0.006515;0.020729
70;0.037325;-0.004831;0.026424
71;0.018153;0.002464;0.010121
72;0.007860;-0.003260;0.035121
73;0.001313;0.000744;0.006292
74;0.006045;0.011661;-0.004124
75;0.026111;0.002507;0.010934
76;0.027878;0.002217;0.005188
77;0.039226;0.004709;0.015813
78;0.021423;0.002874;0.021580
79;0.016900;0.011450;0.006739
80;0.038987;-0.001701;-0.009538
81;0.038110;-0.018245;0.011164
82;0.013749;-0.024614;0.006840
83;-0.032311;-0.033839;-0.007433
