index;x;y;z
0;0.015827;-0.012439;-0.018770
1;-0.042008;-0.022016;-0.032074
2;-0.072129;0.045979;-0.096633
3;0.057372;0.074535;-0.078483
4;0.040868;0.043557;-0.053283
5;-0.071243;-0.037995;0.013788
6;0.065164;0.019087;-0.021782
7;0.041776;0.086509;-0.031569
8;-0.032114;0.028316;-0.062200
9;-0.069267;-0.045636;-0.012873
10;-0.099650;-0.027422;-0.006468
11;-0.029348;-0.010752;-0.007085
12;-0.047294;-0.015434;0.045347
13;-0.007894;0.000552;-0.004203
14;0.033560;0.027007;0.027346
15;0.015109;-0.020268;0.044168
16;0.010129;-0.038884;0.027093
17;0.049130;-0.025112;0.010910
18;0.046144;-0.022609;0.014734
19;0.008669;-0.018584;-0.049013
20;0.027445;-0.005253;-0.047463
21;0.030120;-0.025791;-0.032440
22;0.055758;-0.014080;-0.040834
23;0.065221;-0.016385;-0.031730
24;0.043201;-0.023824;-0.036125
25;-0.010149;-0.023607;-0.064984
26;-0.027767;-0.013114;-0.061534
27;-0.036394;-0.027533;-0.051657
28;-0.046930;-0.038027;-0.052345
29;-0.057944;-0.027497;-0.018729
30;-0.034341;-0.014643;0.000785
31;-0.044335;0.007740;-0.006195
32;-0.038741;0.032969;-0.016862
33;0.017043;0.044431;-0.003767
34;0.004103;-0.012487;0.056548
35;0.029375;-0.027731;0.070485
36;0.031579;-0.020579;0.039070
37;0.036455;-0.004577;-0.019226
38;0.011874;-0.006643;-0.034709
39;-0.017268;-0.018860;-0.065251
40;0.010795;-0.012505;-0.042152
41;0.019242;-0.012089;-0.027486
42;0.019806;-0.009458;-0.030190
43;0.011003;-0.003592;-0.032201
44;0.007989;-0.011714;-0.016025
45;0.024110;-0.005476;0.010436
46;-0.007927;-0.018135;-0.013991
47;-0.046173;-0.031981;-0.005562
48;-0.061511;-0.028533;-0.015457
49;-0.048558;-0.020326;-0.006329
50;-0.022394;0.003009;-0.007887
51;-0.007318;-0.001311;0.007092
52;-0.007704;-0.014495;0.019624
53;-0.005619;-0.010711;0.015542
54;-0.006613;-0.002654;0.006644
55;0.025708;0.008593;-0.017502
56;0.029385;0.000682;-0.004318
57;0.014764;-0.006538;-0.015001
58;0.022494;0.000352;-0.002785
59;0.004618;-0.018485;-0.022717
60;-0.000862;-0.013917;-0.017412
61;0.012158;-0.011452;-0.017874
62;0.021049;-0.000409;-0.024103
63;0.022248;0.030155;-0.027667
64;-0.000608;0.001995;-0.011733
65;-0.006981;-0.017655;0.016781
66;-0.004613;-0.012520;0.011545
67;0.014567;-0.011285;0.009197
68;0.013903;-0.003482;0.000243
69;0.029991;0.007000;0.007708
70;0.001618;-0.021411;0.008896
71;-0.008509;-0.023928;0.009360
72;-0.021403;-0.028055;0.027314
73;-0.060117;-0.048399;0.002171
74;-0.090586;-0.069387;-0.000604
75;-0.157699;-0.132316;-0.022087
76;-0.193941;-0.172184;-0.040673
77;-0.247615;-0.147265;-0.103443
78;-0.282980;-0.090538;-0.187863
