index;x;y;z
0;0.006135;-0.007423;-0.003898
1;0.004910;0.003318;0.005595
2;0.000653;-0.012225;-0.000334
3;-0.005453;-0.004416;-0.003637
4;0.007654;-0.002131;-0.003079
5;0.002948;-0.001594;0.001041
6;-0.013086;-0.001281;0.002610
7;-0.012125;-0.008623;0.007060
8;-0.001022;-0.000708;-0.007011
9;0.003106;-0.005177;-0.018305
10;0.017937;-0.000603;-0.027148
11;0.023269;-0.021745;-0.003977
12;0.005063;-0.005791;0.002787
13;-0.012306;0.006435;-0.000389
14;-0.000836;-0.004573;0.000125
15;0.005990;-0.011154;0.008294
16;0.009271;-0.006781;-0.000654
17;0.003914;-0.001453;0.000270
18;0.002571;-0.007609;-0.003605
19;0.000992;-0.002807;0.000777
20;-0.009814;-0.001086;0.002319
21;-0.022893;0.002700;0.004758
22;-0.012267;-0.004489;0.011288
23;0.004015;0.002701;0.021409
24;0.010313;-0.004291;-0.000480
25;0.027001;-0.012249;0.014604
26;0.021545;-0.013578;0.005658
27;0.018174;-0.005616;-0.005651
28;0.027433;-0.011229;-0.006230
29;0.037125;-0.022900;-0.011750
30;0.023345;0.000923;0.000440
31;-0.007637;-0.011170;-0.004009
32;-0.017225;-0.001448;0.010198
33;-0.020301;-0.005605;0.019431
34;-0.029957;0.012968;-0.013649
35;0.001350;-0.008634;0.006970
36;0.030656;-0.020908;0.010821
37;0.028115;0.001350;0.017558
38;-0.013015;0.001164;0.018951
39;-0.050518;0.001584;0.008604
40;-0.017678;0.001856;-0.014182
41;-0.000804;-0.010992;-0.008778
42;-0.009865;0.004221;0.011891
43;-0.043365;0.014642;0.018417
44;-0.014173;0.015215;0.014304
45;0.005077;-0.012336;0.013873
46;0.003054;-0.011671;0.009114
47;-0.012181;-0.005200;0.006291
48;-0.008457;0.000660;0.001978
49;0.011823;-0.004812;-0.002360
50;0.005741;-0.009553;0.005763
51;-0.007135;-0.001239;-0.002534
52;-0.011664;-0.002526;-0.008221
53;0.005774;-0.014905;-0.004463
54;0.009812;-0.004187;-0.009664
55;-0.012789;0.009433;-0.002887
56;-0.012834;-0.006136;0.006365
57;0.001662;-0.002672;0.004612
58;0.000054;-0.006418;-0.005882
59;-0.007326;-0.002059;-0.006045
60;-0.014190;-0.014010;-0.011409
61;0.003164;-0.023300;0.000614
62;-0.025857;0.017062;0.013036
63;0.012930;-0.009544;0.052621
64;0.084323;-0.076426;0.011607
65;0.142641;-0.011532;0.031633
66;0.054557;0.029994;0.101739
67;0.035807;-0.045238;0.029080
68;0.086933;-0.055682;0.048449
69;0.078972;0.067664;0.058824
70;-0.047438;0.021509;0.091221
71;-0.076592;-0.000261;0.035588
72;-0.067601;0.005444;0.066392
73;-0.174846;0.018033;-0.059026
74;-0.159253;0.062829;-0.063897
75;-0.065566;0.089238;0.037258
76;-0.064646;0.041392;0.057811
77;-0.066507;-0.036474;-0.014481
78;-0.035161;-0.049587;-0.024254
79;0.000313;-0.035126;-0.015971
80;0.020018;-0.045994;-0.089953
81;0.046495;-0.041880;-0.157731
82;0.019362;-0.098004;-0.173825
83;-0.003085;-0.087102;-0.177919
84;-0.026342;-0.139150;-0.116044
85;-0.131037;0.247250;-0.006707
86;-0.126697;0.260250;0.071018
87;-0.085574;-0.104473;0.056280
88;0.031090;-0.309749;0.242496
89;0.005178;0.006541;0.247990
90;0.036510;0.238575;-0.043056
91;0.082337;-0.030317;0.042703
92;0.036543;-0.094648;0.054321
93;0.089820;-0.050769;0.001979
94;0.005998;-0.075707;0.004217
95;0.067862;-0.022103;-0.086927
96;0.145840;0.004978;-0.124072
97;0.064620;-0.096887;-0.030827
98;0.019598;-0.002238;-0.054832
99;0.060445;0.095071;-0.081529
100;0.188517;0.184342;0.033435
101;0.126904;0.067558;0.031774
102;-0.067668;-0.133737;0.073096
103;-0.196131;-0.106619;0.085460
104;-0.102096;0.079250;0.011123
105;0.161460;0.208819;0.010248
106;-0.020661;0.075880;-0.008439
