index;x;y;z
0;-0.001712;-0.006350;0.000123
1;0.002572;-0.012389;-0.003848
2;0.001743;-0.006944;-0.002814
3;-0.005982;-0.005748;0.002321
4;-0.009228;-0.004375;0.003120
5;-0.007331;-0.000960;0.006062
6;0.002468;-0.005716;-0.002700
7;0.009337;-0.006956;-0.006914
8;0.004642;-0.003386;-0.006581
9;0.001979;-0.004036;-0.003858
10;-0.001468;-0.004283;-0.000508
11;0.000049;-0.001097;0.002692
12;-0.000575;-0.005890;0.005477
13;0.000728;-0.006689;0.007914
14;-0.000836;-0.003878;0.005171
15;-0.000162;-0.005654;0.000714
16;0.004513;-0.002100;0.002054
17;0.004513;-0.004312;-0.001477
18;0.003422;-0.004863;-0.002499
19;0.001297;-0.002437;0.001155
20;0.002825;-0.006204;-0.002023
21;0.002540;-0.005212;-0.003796
22;-0.003901;-0.003522;-0.000302
23;-0.007847;-0.003400;0.004546
24;-0.006056;-0.002216;0.007263
25;-0.000413;-0.003748;0.005876
26;0.005987;-0.006636;0.001156
27;0.008413;-0.006506;-0.001626
28;0.005414;-0.008084;-0.003410
29;0.000260;-0.006060;-0.004185
30;-0.003247;-0.002498;-0.004785
31;-0.003096;-0.003797;-0.000321
32;0.001444;-0.005986;-0.002208
33;0.002990;-0.006777;-0.001119
34;0.002610;-0.002128;-0.001216
35;-0.000799;-0.005200;-0.001792
36;0.000061;-0.003658;0.001492
37;-0.003465;-0.003787;0.002503
38;-0.004316;-0.003492;0.002602
39;-0.002702;-0.007486;0.001465
40;-0.001714;-0.006254;0.000611
41;-0.000506;-0.003482;0.000658
42;-0.000462;-0.005357;0.000197
43;-0.001465;-0.003460;-0.000516
44;-0.001783;-0.004753;0.000184
45;0.001140;-0.006409;-0.003578
46;-0.001754;-0.006175;-0.004687
47;0.002105;-0.005688;-0.002050
48;0.005233;-0.001641;0.000139
49;0.002613;-0.004021;-0.001541
50;0.004673;-0.005238;0.003821
51;0.005197;-0.001926;0.010831
52;0.002271;-0.004017;0.005131
53;-0.000178;-0.010817;-0.002488
54;0.007555;-0.006605;-0.007013
55;0.004817;-0.002880;-0.010308
56;-0.004430;-0.002388;-0.006967
57;-0.015376;-0.002562;0.002228
58;-0.004118;0.002489;0.005212
59;0.006981;-0.008889;0.002223
60;0.010959;-0.011327;0.003325
61;0.001512;-0.009455;0.000106
62;-0.005313;-0.002085;0.001140
63;-0.009870;0.005799;-0.002051
64;0.000154;-0.006899;0.000412
