index;x;y;z
0;-0.011099;-0.010520;-0.009968
1;-0.001087;-0.003829;0.002061
2;-0.002015;-0.002484;0.008016
3;-0.001828;0.003158;-0.000162
4;-0.002641;-0.011295;-0.008862
5;0.003357;-0.005940;0.013611
6;-0.001499;-0.000649;-0.006421
7;-0.003368;-0.006484;-0.004917
8;-0.002696;-0.001199;0.007595
9;-0.005826;-0.001757;0.007445
10;-0.002002;-0.003634;-0.005374
11;-0.005054;-0.005662;-0.002118
12;-0.003526;-0.000822;-0.011711
13;0.007022;-0.003739;-0.010119
14;0.000929;0.001209;-0.007289
15;-0.012122;0.000161;-0.018113
16;-0.014065;-0.013047;0.000765
17;-0.059774;0.013007;0.009148
18;-0.045981;-0.027162;0.008083
19;-0.021260;-0.005652;0.004470
20;0.002494;-0.011803;0.007044
21;0.022732;-0.001364;0.003568
22;0.022606;-0.009693;0.001861
23;0.035873;-0.006979;-0.004642
24;0.029880;0.001744;-0.000416
25;0.034555;-0.007133;0.005981
26;0.034880;-0.008647;0.013228
27;0.020620;-0.013048;0.014525
28;0.025651;-0.003064;0.023028
29;0.012713;-0.016605;0.015353
30;0.027589;-0.013682;0.010734
31;0.019578;-0.020085;-0.004517
32;0.027823;-0.017919;-0.015812
33;0.019468;-0.013378;-0.014495
34;-0.004169;-0.001638;-0.018126
35;-0.010466;-0.005205;-0.014916
36;-0.022121;-0.007809;-0.002771
37;-0.066166;0.003193;-0.000149
38;-0.069743;0.006921;-0.009096
39;-0.039647;0.004645;-0.010244
40;-0.015773;-0.004021;-0.004315
41;0.007397;0.000600;-0.011324
42;0.026404;0.008270;-0.010832
43;0.004535;0.006413;0.000011
44;-0.004654;-0.008082;0.006468
45;-0.024851;-0.017984;0.003674
46;-0.031544;-0.002058;0.002292
47;-0.016639;-0.010873;0.006104
48;-0.017577;-0.015356;-0.009001
49;-0.010247;0.009968;-0.015602
50;-0.013304;0.007751;-0.009347
51;-0.015421;-0.009312;-0.006737
